"","age","risk","sex","lifespangain","percentage_benefit","lifespan_gain_in_beneficiary","lifespan_gain_in_beneficiary_yrs"
"1","35","0.5","female",73.146,2.9,2522.27586206897,6.91
"2","35","0.5","male",71.339,3.1,2301.25806451613,6.3
"3","35","1","female",148.402,5.2,2853.88461538462,7.82
"4","35","1","male",287.372,7.4,3883.40540540541,10.64
"5","35","2","female",234.015,9.1,2571.59340659341,7.05
"6","35","2","male",401.799,11.5,3493.90434782609,9.57
"7","36","0.5","female",73.146,2.9,2522.27586206897,6.91
"8","36","0.5","male",75.107,3.2,2347.09375,6.43
"9","36","1","female",148.402,5.2,2853.88461538462,7.82
"10","36","1","male",287.372,7.4,3883.40540540541,10.64
"11","36","2","female",234.015,9.1,2571.59340659341,7.05
"12","36","2","male",401.799,11.5,3493.90434782609,9.57
"13","37","0.5","female",73.146,2.9,2522.27586206897,6.91
"14","37","0.5","male",75.107,3.2,2347.09375,6.43
"15","37","1","female",148.402,5.2,2853.88461538462,7.82
"16","37","1","male",287.372,7.4,3883.40540540541,10.64
"17","37","2","female",234.015,9.1,2571.59340659341,7.05
"18","37","2","male",401.799,11.5,3493.90434782609,9.57
"19","38","0.5","female",73.146,2.9,2522.27586206897,6.91
"20","38","0.5","male",75.107,3.2,2347.09375,6.43
"21","38","1","female",148.752,5.3,2806.64150943396,7.69
"22","38","1","male",287.372,7.4,3883.40540540541,10.64
"23","38","2","female",239.851,9.2,2607.07608695652,7.14
"24","38","2","male",401.799,11.5,3493.90434782609,9.57
"25","39","0.5","female",73.146,2.9,2522.27586206897,6.91
"26","39","0.5","male",75.107,3.2,2347.09375,6.43
"27","39","1","female",148.752,5.3,2806.64150943396,7.69
"28","39","1","male",287.372,7.4,3883.40540540541,10.64
"29","39","2","female",239.851,9.2,2607.07608695652,7.14
"30","39","2","male",401.799,11.5,3493.90434782609,9.57
"31","40","0.5","female",73.146,2.9,2522.27586206897,6.91
"32","40","0.5","male",75.107,3.2,2347.09375,6.43
"33","40","1","female",148.752,5.3,2806.64150943396,7.69
"34","40","1","male",290.594,7.5,3874.58666666667,10.62
"35","40","2","female",239.851,9.2,2607.07608695652,7.14
"36","40","2","male",401.799,11.5,3493.90434782609,9.57
"37","41","0.5","female",73.146,2.9,2522.27586206897,6.91
"38","41","0.5","male",75.107,3.2,2347.09375,6.43
"39","41","1","female",148.752,5.3,2806.64150943396,7.69
"40","41","1","male",290.594,7.5,3874.58666666667,10.62
"41","41","2","female",239.851,9.2,2607.07608695652,7.14
"42","41","2","male",401.799,11.5,3493.90434782609,9.57
"43","42","0.5","female",73.146,2.9,2522.27586206897,6.91
"44","42","0.5","male",75.107,3.2,2347.09375,6.43
"45","42","1","female",148.752,5.3,2806.64150943396,7.69
"46","42","1","male",290.594,7.5,3874.58666666667,10.62
"47","42","2","female",239.851,9.2,2607.07608695652,7.14
"48","42","2","male",401.799,11.5,3493.90434782609,9.57
"49","43","0.5","female",73.146,2.9,2522.27586206897,6.91
"50","43","0.5","male",75.107,3.2,2347.09375,6.43
"51","43","1","female",148.752,5.3,2806.64150943396,7.69
"52","43","1","male",291.279,7.6,3832.61842105263,10.5
"53","43","2","female",239.851,9.2,2607.07608695652,7.14
"54","43","2","male",403.826,11.7,3451.50427350427,9.46
"55","44","0.5","female",73.146,2.9,2522.27586206897,6.91
"56","44","0.5","male",75.107,3.2,2347.09375,6.43
"57","44","1","female",148.752,5.3,2806.64150943396,7.69
"58","44","1","male",291.279,7.6,3832.61842105263,10.5
"59","44","2","female",239.851,9.2,2607.07608695652,7.14
"60","44","2","male",403.826,11.7,3451.50427350427,9.46
"61","45","0.5","female",73.146,2.9,2522.27586206897,6.91
"62","45","0.5","male",75.107,3.2,2347.09375,6.43
"63","45","1","female",148.752,5.3,2806.64150943396,7.69
"64","45","1","male",291.279,7.6,3832.61842105263,10.5
"65","45","2","female",250.43,9.3,2692.79569892473,7.38
"66","45","2","male",403.826,11.7,3451.50427350427,9.46
"67","46","0.5","female",73.146,2.9,2522.27586206897,6.91
"68","46","0.5","male",75.107,3.2,2347.09375,6.43
"69","46","1","female",148.752,5.3,2806.64150943396,7.69
"70","46","1","male",291.279,7.6,3832.61842105263,10.5
"71","46","2","female",250.43,9.3,2692.79569892473,7.38
"72","46","2","male",405.462,11.8,3436.1186440678,9.41
"73","47","0.5","female",73.146,2.9,2522.27586206897,6.91
"74","47","0.5","male",75.107,3.2,2347.09375,6.43
"75","47","1","female",148.752,5.3,2806.64150943396,7.69
"76","47","1","male",291.279,7.6,3832.61842105263,10.5
"77","47","2","female",251.622,9.4,2676.82978723404,7.33
"78","47","2","male",405.462,11.8,3436.1186440678,9.41
"79","48","0.5","female",73.146,2.9,2522.27586206897,6.91
"80","48","0.5","male",75.107,3.2,2347.09375,6.43
"81","48","1","female",148.752,5.3,2806.64150943396,7.69
"82","48","1","male",303.785,7.7,3945.25974025974,10.81
"83","48","2","female",251.622,9.4,2676.82978723404,7.33
"84","48","2","male",405.462,11.8,3436.1186440678,9.41
"85","49","0.5","female",73.146,2.9,2522.27586206897,6.91
"86","49","0.5","male",75.743,3.3,2295.24242424242,6.29
"87","49","1","female",148.752,5.3,2806.64150943396,7.69
"88","49","1","male",303.785,7.7,3945.25974025974,10.81
"89","49","2","female",257.307,9.5,2708.49473684211,7.42
"90","49","2","male",405.462,11.8,3436.1186440678,9.41
"91","50","0.5","female",75.375,3.1,2431.45161290323,6.66
"92","50","0.5","male",75.743,3.3,2295.24242424242,6.29
"93","50","1","female",148.752,5.3,2806.64150943396,7.69
"94","50","1","male",303.785,7.7,3945.25974025974,10.81
"95","50","2","female",257.307,9.5,2708.49473684211,7.42
"96","50","2","male",407.982,11.9,3428.42016806723,9.39
"97","51","0.5","female",75.375,3.1,2431.45161290323,6.66
"98","51","0.5","male",75.743,3.3,2295.24242424242,6.29
"99","51","1","female",148.752,5.3,2806.64150943396,7.69
"100","51","1","male",283.025,7.6,3724.01315789474,10.2
"101","51","2","female",257.307,9.5,2708.49473684211,7.42
"102","51","2","male",407.982,11.9,3428.42016806723,9.39
"103","52","0.5","female",75.375,3.1,2431.45161290323,6.66
"104","52","0.5","male",75.743,3.3,2295.24242424242,6.29
"105","52","1","female",148.752,5.3,2806.64150943396,7.69
"106","52","1","male",270.851,7.6,3563.82894736842,9.76
"107","52","2","female",258.339,9.7,2663.28865979381,7.3
"108","52","2","male",395.807,11.9,3326.10924369748,9.11
"109","53","0.5","female",75.375,3.1,2431.45161290323,6.66
"110","53","0.5","male",75.743,3.3,2295.24242424242,6.29
"111","53","1","female",148.752,5.3,2806.64150943396,7.69
"112","53","1","male",270.851,7.6,3563.82894736842,9.76
"113","53","2","female",258.339,9.7,2663.28865979381,7.3
"114","53","2","male",356.915,11.6,3076.85344827586,8.43
"115","54","0.5","female",75.375,3.1,2431.45161290323,6.66
"116","54","0.5","male",75.743,3.3,2295.24242424242,6.29
"117","54","1","female",148.752,5.3,2806.64150943396,7.69
"118","54","1","male",270.851,7.6,3563.82894736842,9.76
"119","54","2","female",258.339,9.7,2663.28865979381,7.3
"120","54","2","male",356.915,11.6,3076.85344827586,8.43
"121","55","0.5","female",75.375,3.1,2431.45161290323,6.66
"122","55","0.5","male",75.743,3.3,2295.24242424242,6.29
"123","55","1","female",148.752,5.3,2806.64150943396,7.69
"124","55","1","male",270.851,7.6,3563.82894736842,9.76
"125","55","2","female",258.674,9.8,2639.5306122449,7.23
"126","55","2","male",349.868,11.5,3042.33043478261,8.34
"127","56","0.5","female",75.375,3.1,2431.45161290323,6.66
"128","56","0.5","male",75.743,3.3,2295.24242424242,6.29
"129","56","1","female",148.752,5.3,2806.64150943396,7.69
"130","56","1","male",258.336,7.5,3444.48,9.44
"131","56","2","female",258.674,9.8,2639.5306122449,7.23
"132","56","2","male",340.605,11.4,2987.76315789474,8.19
"133","57","0.5","female",75.375,3.1,2431.45161290323,6.66
"134","57","0.5","male",75.743,3.3,2295.24242424242,6.29
"135","57","1","female",148.752,5.3,2806.64150943396,7.69
"136","57","1","male",245.168,7.4,3313.08108108108,9.08
"137","57","2","female",248.629,9.7,2563.18556701031,7.02
"138","57","2","male",340.652,11.5,2962.19130434783,8.12
"139","58","0.5","female",75.375,3.1,2431.45161290323,6.66
"140","58","0.5","male",75.743,3.3,2295.24242424242,6.29
