age,ihd_mortality,non_ihd_mortality,sex
0,0,0.00474,male
2,0,1.8e-4,male
4,0,1.8e-4,male
6,0,8e-5,male
8,0,9e-5,male
10,0,1.1e-4,male
12,0,1.1e-4,male
14,0,1e-4,male
16,0,3.2e-4,male
18,0,3.2e-4,male
20,1e-5,4.9e-4,male
22,1e-5,4.6e-4,male
24,1e-5,4.7e-4,male
26,2e-5,5.5e-4,male
28,2e-5,5.4e-4,male
30,4e-5,7e-4,male
32,4e-5,6.9e-4,male
34,4e-5,7.2e-4,male
36,1e-4,0.00103,male
38,1e-4,0.001,male
40,2.6e-4,0.00152,male
42,2.4e-4,0.00142,male
44,2.4e-4,0.00142,male
46,4.2e-4,0.00199,male
48,4.2e-4,0.00199,male
50,7.2e-4,0.00262,male
52,7.5e-4,0.00277,male
54,8e-4,0.00295,male
56,0.00121,0.00439,male
58,0.0013,0.00473,male
60,0.00197,0.00767,male
62,0.00202,0.00786,male
64,0.00192,0.0075,male
66,0.00245,0.00917,male
68,0.00329,0.01232,male
70,0.00455,0.01635,male
72,0.00575,0.02066,male
74,0.00564,0.02026,male
76,0.00843,0.02918,male
78,0.00956,0.03311,male
80,0.01436,0.04739,male
82,0.01641,0.05418,male
84,0.02084,0.0688,male
86,0.02568,0.08357,male
88,0.03565,0.11603,male
90,0.04722,0.15216,male
92,0.05684,0.17906,male
94,0.06836,0.20951,male
96,0.08212,0.24348,male
98,0.09848,0.28066,male
100,0.1179,0.32038,male
102,0.14084,0.36152,male
104,0.16779,0.4024,male
106,0.19928,0.44076,male
108,0.23579,0.47376,male
110,0.27775,0.49821,male
112,0.32546,0.51091,male
114,0.37898,0.50912,male
116,0.43811,0.49125,male
118,0.50217,0.45734,male
120,0.57,0.40935,male
122,0.63984,0.35102,male
124,0.70936,0.28723,male
126,0.77578,0.22318,male
128,0.8362,0.16355,male
130,0.88798,0.11198,male
132,0.92926,0.07074,male
134,0.95944,0.04056,male
136,0.97931,0.02069,male
138,0.99084,0.00916,male
1,0,1.4e-4,female
3,0,1.5e-4,female
5,0,7e-5,female
7,0,8e-5,female
9,0,8e-5,female
11,0,9e-5,female
13,0,8e-5,female
15,0,1.5e-4,female
17,0,1.5e-4,female
19,0,1.4e-4,female
21,0,2e-4,female
23,0,2e-4,female
25,1e-5,2.6e-4,female
27,1e-5,2.6e-4,female
29,1e-5,2.6e-4,female
31,2e-5,3.9e-4,female
33,2e-5,3.8e-4,female
35,5e-5,6.1e-4,female
37,5e-5,6.1e-4,female
39,5e-5,5.8e-4,female
41,8e-5,9.5e-4,female
43,8e-5,0.00093000000000000005,female
45,1.4e-4,0.00149,female
47,1.3e-4,0.00146,female
49,1.3e-4,0.00147,female
51,2.3e-4,0.00212,female
53,2.5e-4,0.00228,female
55,4.1e-4,0.00332,female
57,4.4e-4,0.00357,female
59,4.5e-4,0.00366,female
61,7.6e-4,0.0058,female
63,7.3e-4,0.0056,female
65,0.00115,0.0072,female
67,0.00137,0.00857,female
69,0.00141,0.00882,female
71,0.00242,0.01324,female
73,0.00257,0.01406,female
75,0.00474,0.02073,female
77,0.00518,0.02263,female
79,0.0058,0.02534,female
81,0.01058,0.0398,female
83,0.01168,0.04392,female
85,0.01854,0.06552,female
87,0.02214,0.07824,female
89,0.02787,0.09847,female
91,0.03362,0.11715,female
93,0.04054,0.13888,female
95,0.04884,0.16396,female
97,0.05879,0.19259,female
99,0.07069,0.22485,female
101,0.08489,0.26062,female
103,0.10178,0.29947,female
105,0.1218,0.34059,female
107,0.14542,0.38265,female
109,0.17317,0.42376,female
111,0.20553,0.46142,female
113,0.24301,0.49261,female
115,0.28599,0.51406,female
117,0.33476,0.52265,female
119,0.38933,0.51594,female
121,0.44942,0.49284,female
123,0.51427,0.454,female
125,0.58261,0.40201,female
127,0.65258,0.34102,female
129,0.72175,0.27603,female
131,0.7873,0.21208,female
133,0.84633,0.15354,female
135,0.8963,0.10368,female
137,0.93557,0.06443,female
139,0.96378,0.03622,female
